지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
고양송산중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 가좌2로 15,경기도 고양시 일산서구 가좌동 1100번지,37.68786323,126.7220292,4165,1262,Y,031-910-1305,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
고양신일초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 강선로 183,경기도 고양시 일산서구 일산동 1075번지,37.67954944,126.7708283,6624,2007,Y,031-912-2071,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
고양제일중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 통일로 820,경기도 고양시 덕양구 관산동 332번지,37.6899001,126.8610402,6040,1830,Y,031-962-8392,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
고양종합운동장,지진대피소,옥외대피장소,운동장,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320번지,37.6764217,126.7430656,20067,6081,Y,031-929-4861,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
고양종합운동장보조구장,지진대피소,옥외대피장소,운동장,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320번지,37.6764217,126.7430656,17199,5212,Y,031-929-4861,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
고양화수초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 화수로 25,경기도 고양시 덕양구 화정동 860번지,37.64538018,126.8327278,4446,1347,Y,031-966-4038,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
능곡고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 지도로 76,경기도 고양시 덕양구 토당동 394-3번지,37.62396233,126.8255034,9315,2823,Y,031-974-7312,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
능곡초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 토당로67번길 66,경기도 고양시 덕양구 토당동 278-2번지,37.62449921,126.815946,11336,3435,Y,031-972-0358,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
대송중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 송포로 49,경기도 고양시 일산서구 대화동 1492-1번지,37.67085888,126.7308658,5340,1618,Y,031-924-1890,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
대화인조잔디축구장,지진대피소,옥외대피장소,기타,경기도 고양시 일산서구 대화로 168,경기도 고양시 일산서구 대화동 2312번지,37.67153905,126.7384442,8360,2533,Y,031-929-4861,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
대화중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 고양대로 348,경기도 고양시 일산서구 대화동 2230번지,37.67384436,126.7444755,7800,2364,Y,031-914-0524,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
대화초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 송포로 50,경기도 고양시 일산서구 대화동 1643번지,37.67157234,126.7323957,9173,2780,Y,031-911-2073,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
덕은중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 중앙로176번길 18-29,경기도 고양시 덕양구 화전동 274-3번지,37.60465398,126.8717319,4471,1355,Y,02-3158-5352,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
덕은초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 중앙로176번길 18-4,경기도 고양시 덕양구 화전동 274-6번지,37.60317647,126.8718241,16196,4908,Y,02-3158-4752,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
덕이중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 덕이동 산145-6,경기도 고양시 일산서구 덕이동 산145-6,37.70219286,126.7533699,2689,815,Y,031-913-7863,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
덕이초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 덕이로 104,경기도 고양시 일산서구 덕이동 528번지,37.69276604,126.7483789,5179,1569,Y,031-914-2118,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
무원고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 화신로 65,경기도 고양시 덕양구 행신동 977번지,37.61907895,126.8381457,5046,1529,Y,031-930-0794,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
무원초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 무원로 47,경기도 고양시 덕양구 행신동 696번지,37.6176968,126.8316813,8078,2448,Y,031-972-9515,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
문촌초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 주엽로 168,경기도 고양시 일산서구 주엽동 24번지,37.67338777,126.7604552,8004,2425,Y,031-912-0141,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
문화초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 강선로 123,경기도 고양시 일산서구 주엽동 37번지,37.67486446,126.7672018,7067,2142,Y,031-912-2100,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
발산중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 고봉로 99,경기도 고양시 일산서구 주엽동 56번지,37.66984176,126.769625,7560,2291,Y,031-910-9999,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
백석인조잔디축구장,지진대피소,옥외대피장소,기타,경기도 고양시 일산동구 강송로 14,경기도 고양시 일산동구 백석동 1233번지,37.64247781,126.7953753,7320,2218,Y,031-929-4861,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
백송초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 덕이동 350-2,경기도 고양시 일산서구 덕이동 350-2,37.70115184,126.7537355,3060,927,Y,031-919-1783,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
백신고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 백석로 8,경기도 고양시 일산동구 백석동 1347번지,37.64248981,126.7819555,8200,2485,Y,031-903-4903,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
백신중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 강촌로 89,경기도 고양시 일산동구 마두동 788번지,37.65133249,126.7831761,6034,1828,Y,031-901-1743,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
백양고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 화신로 199,경기도 고양시 덕양구 행신동 897번지,37.62949477,126.8384277,3156,956,Y,031-978-8128,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
백양초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 화신로 238,경기도 고양시 덕양구 화정동 990번지,37.63225947,126.836165,7257,2199,Y,031-971-0095,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
벽제초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 공릉천로 13,경기도 고양시 일산동구 사리현동 122-2번지,37.69562966,126.8432733,8000,2424,Y,031-962-4860,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
삼송초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 세솔로 150,경기도 고양시 덕양구 원흥동 675번지,37.65420131,126.8823082,2339,709,Y,031-966-2986,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
성라초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 호국로716번길 13-19,경기도 고양시 덕양구 성사동 732번지,37.65279144,126.8338444,7120,2158,Y,031-966-4208,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
성사초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 호국로834번길 89,경기도 고양시 덕양구 성사동 716번지,37.65782151,126.843652,10951,3318,Y,070-8672-0282,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
성석초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 문봉길 110,경기도 고양시 일산동구 문봉동 203-6번지,37.7073801,126.8123754,651,197,Y,031-977-7198,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
성신초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 성신로 104,경기도 고양시 덕양구 행신동 929번지,37.62663527,126.8399201,3787,1148,Y,031-973-2228,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
성저초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 성저로 92,경기도 고양시 일산서구 대화동 2006번지,37.68474457,126.7573667,1564,474,Y,031-915-0214,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
소만초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 화신로 48,경기도 고양시 덕양구 행신동 780번지,37.61754206,126.8395862,7004,2122,Y,031-970-2146,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
송포초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 송산로 379,경기도 고양시 일산서구 가좌동 355-1번지,37.68582036,126.7207308,3157,957,Y,031-923-0166,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
신원초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 신원동 119-2,경기도 고양시 덕양구 신원동 119-2,37.66954059,126.8829147,1761,534,Y,02-371-0205,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
아람초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 서정마을로 36,경기도 고양시 덕양구 행신동 1069번지,37.61945556,126.8504107,2983,904,Y,031-979-5424,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
안곡초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 중산로 142,경기도 고양시 일산동구 중산동 161-3번지,37.6847816,126.7818544,2500,758,Y,031-976-1624,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
오마초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 주엽로 214,경기도 고양시 일산서구 주엽동 33번지,37.67704006,126.7630008,4176,1265,Y,031-912-2122,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
용두초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 용두동 16-2,경기도 고양시 덕양구 용두동 16-2,37.62131884,126.8933521,3501,1061,Y,02-384-0195,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
용정초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 은빛로17번길 53,경기도 고양시 덕양구 화정동 918번지,37.64051767,126.8296478,2469,748,Y,031-967-0363,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
원당초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 마상로107번길 13,경기도 고양시 덕양구 주교동 313-8번지,37.66235778,126.8349292,11525,3492,Y,031-969-6665,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
일산고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 원일로 53,경기도 고양시 일산서구 일산동 966-50번지,37.6885949,126.7669775,13160,3988,Y,031-975-2487,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
일산은행초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 은행마을로 70,경기도 고양시 일산동구 식사동 916번지,37.66932777,126.8064343,3152,955,Y,031-969-6734,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
일산초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 일중로15번길 38,경기도 고양시 일산서구 일산동 630-1번지,37.68298978,126.7719358,4356,1320,Y,031-975-2394,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
저동고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 무궁화로 165,경기도 고양시 일산동구 정발산동 1208번지,37.6708653,126.7790569,6872,2082,Y,031-917-0678,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
정발고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 정발산로 185,경기도 고양시 일산동구 마두동 894번지,37.6636489,126.7861369,6103,1849,Y,031-904-2327,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
정발초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 강송로 190,경기도 고양시 일산동구 마두동 758번지,37.65576999,126.783757,4742,1437,Y,031-902-0184,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
주엽고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 킨텍스로 341,경기도 고양시 일산서구 대화동 2168번지,37.67610338,126.7543569,7539,2285,Y,031-910-3800,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
주엽초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 강선로 29,경기도 고양시 일산서구 주엽동 100번지,37.66738939,126.7615127,7720,2339,Y,031-912-0031,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
중산인조잔디축구장,지진대피소,옥외대피장소,기타,경기도 고양시 일산동구 중산로 217,경기도 고양시 일산동구 중산동 1565번지,37.6915705,126.7798982,8362,2534,Y,031-929-4861,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
중산중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 탄중로 361,경기도 고양시 일산동구 중산동 1575-2번지,37.691405,126.7834994,2750,833,Y,070-4006-5070,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
충장인조잔디축구장,지진대피소,옥외대피장소,기타,경기도 고양시 덕양구 행주내동 630,경기도 고양시 덕양구 행주내동 630,37.61398594,126.8257316,8212,2488,Y,031-929-4861,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
풍동초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 숲속마을로 14-43,경기도 고양시 일산동구 풍동 1266번지,37.66951581,126.8025235,2924,886,Y,031-932-8740,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
풍산초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산동구 숲속마을로 51,경기도 고양시 일산동구 풍동 1284번지,37.66687147,126.7967048,429,130,Y,031-908-8475,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
한산초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 덕이동 379-28,경기도 고양시 일산서구 덕이동 379-28,37.6954577,126.7538136,3185,965,Y,031-916-8453,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
행남초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 소만로 22,경기도 고양시 덕양구 행신동 789번지,37.61518192,126.8425148,5560,1685,Y,031-970-0535,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
행신중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 화신로 22,경기도 고양시 덕양구 행신동 784번지,37.61515634,126.8396548,4050,1227,Y,031-970-2332,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
현산초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 일산서구 산현로 87,경기도 고양시 일산서구 탄현동 1586번지,37.69269338,126.7710917,4990,1512,Y,031-917-1403,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
화수고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 화수로 51,경기도 고양시 덕양구 화정동 854번지,37.64506781,126.8361278,8227,2493,Y,031-960-4500,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 고양시청,031-8075-3237,2022-05-31
화정중학교 운동장,지진대피소,옥외대피장소,학교,경기도 고양시 덕양구 화신로 343,경기도 고양시 덕양구 화정동 941번지,37.63491254,126.8264793,7820,2370,Y,031-930-1901,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 고양시청,031-8075-3237,2022-05-31
과천중앙공원,지진대피소,옥외대피장소,공원,경기도 과천시 도서관길 36,경기도 과천시 별양동 2번지,37.4306182,126.9949285,48008,14548,Y,02-500-1181,,별양,,,,미적용,,,,4,,,과천도시공사,02-500-1181,2023-08-01
과천초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 과천시 온온사로 10,경기도 과천시 중앙동 75번지,37.43667482,126.9941142,5796,1756,Y,02-502-3007,,중앙,,,,미적용,,,,1,,,과천초등학교,02-502-3007,2023-08-01
관문체육공원,지진대피소,옥외대피장소,공원,경기도 과천시 중앙로 294,경기도 과천시 관문동 3번지,37.44180296,126.9964941,179365,54354,Y,02-500-1431,,중앙,,,,미적용,,,,3,,,과천도시공사,02-500-1431,2023-08-01
문원체육공원,지진대피소,옥외대피장소,공원,경기도 과천시 문원로 56,경기도 과천시 문원동 20-2번지,37.42780539,127.0035245,36794,11150,Y,02-500-1451,,문원,,,,미적용,,,,2,,,과천도시공사,02-500-1451,2023-08-01
문원초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 과천시 코오롱로 53,경기도 과천시 별양동 16번지,37.42371336,126.9945973,6007,1820,Y,02-507-5803,,별양,,,,미적용,,,,1,,,문원초등학교,02-507-5803,2023-08-01
주암체육소공원,지진대피소,옥외대피장소,공원,경기도 과천시 장군마을길 62-1,경기도 과천시 주암동 53번지,37.46107818,127.031903,9820,2976,Y,02-500-1425,,과천,,,,미적용,,,,1,,,과천도시공사,02-500-1425,2023-08-01
가림중학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광명시 철망산로 71,경기도 광명시 철산동 558번지,37.47030796,126.8753251,16497,19996,Y,02-6917-0100,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2022-04-28
가림초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광명시 하안로 392,경기도 광명시 철산동 555번지,37.46979541,126.8745934,13340,16170,Y,02-803-3328,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2022-04-28
광남중학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광명시 광명로 785,경기도 광명시 광명동 384-6번지,37.47007357,126.8475572,14170,17176,Y,02-2614-9595,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2022-04-28
광덕초등학교 운동장,지진대피소,옥외대피장소,공원,경기도 광명시 안양천로 495,경기도 광명시 철산동 15번지,37.49141672,126.8686095,5700,6909,Y,02-2616-4148,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 광명시청,02-2680-0701,2022-04-28
광명2동행정복지센터,지진대피소,실내구호소,기타,경기도 광명시 광명로 947,경기도 광명시 광명동 93-3번지,37.48335773,126.8559242,150,30,Y,02-2680-5048,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 광명시청,02-2680-0701,2022-04-28
광명3동주민센터,지진대피소,실내구호소,기타,경기도 광명시 광명로928번길 18-20,경기도 광명시 광명동 136-8번지,37.48023427,126.8569341,154,20,Y,02-2680-5081,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 광명시청,02-2680-0701,2022-04-28
광명5동행정복지센터,지진대피소,실내구호소,기타,경기도 광명시 너부대로35번길 20,경기도 광명시 광명동 170번지,37.47876645,126.8475125,230,70,Y,02-2680-5097,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 광명시청,02-2680-0701,2022-04-28
광명6동주민센터,지진대피소,실내구호소,기타,경기도 광명시 광명로791번길 6,경기도 광명시 광명동 786번지,37.4710877,126.8486404,108,33,Y,02-2680-5112,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 광명시청,02-2680-0701,2022-04-28
